Date,Value (12m Rev) (LO),Momentum (12-1) (LO),Quality (Sharpe) (LO),Low Volatility (LO),Composite (LO),CTA,LO+CTA,AvgLO+CTA,SPY_BH
2023-09-12,0.9879864663833803,1.581310397544865,1.3322151110808296,1.5377730328266486,1.3547318483746986,0.9663372584528066,1.2095007298162714,1.2156414870244432,2.899262060797534
2023-09-13,0.9853064316346043,1.5778537708462652,1.3331085013283193,1.5360775213414586,1.3547300349298366,0.9660322012568754,1.209347030389468,1.214710188296683,2.9026424556951715
2023-09-14,0.9953144896297309,1.5955169900066832,1.3460003071627598,1.5507690911991663,1.3664987418987913,0.9680490246250478,1.2166603990289144,1.2229069814228233,2.927669627081172
2023-09-15,0.9896117706879684,1.5815461983035972,1.3303895129123466,1.5391545739052421,1.354554966191468,0.9661239139936697,1.2093121191661507,1.215724721661577,2.892396805062866
2023-09-18,0.9871229732645226,1.5809110200681946,1.3298690162357905,1.5378529164493506,1.3531688430873665,0.9675589976640877,1.2092881484529279,1.2156918336343925,2.8940928403141806
2023-09-19,0.9820603435875763,1.5797239455176435,1.328240893998754,1.5354919895755106,1.3503732878818082,0.9668689456671969,1.2074441838096834,1.2137833537951714,2.888091169678491
2023-09-20,0.9781444358580821,1.568055946141296,1.3163061353135548,1.5300104776751962,1.3466166966750694,0.9658376999109247,1.2049136613290485,1.209374994331483,2.861539819753235
2023-09-21,0.9588129000242327,1.5427763838091193,1.2942410110793388,1.506180909601783,1.3260806651982802,0.9777690161453196,1.1998425138536177,1.2032369221155392,2.814243377781197
2023-09-22,0.9729605088140075,1.5420201521249355,1.2921853280596596,1.5008348732340633,1.3208746119999397,0.9774131038577698,1.1968415413434625,1.2038127706173969,2.807915199876112
2023-09-25,0.9658120039922639,1.543673422858514,1.2964990816268676,1.5033284580451955,1.3234530009083743,0.9810546881998893,1.2000269516207438,1.2057045774744313,2.8197229235550996
2023-09-26,0.9499196688424895,1.5211919154306512,1.2773193211292178,1.485186768246385,1.3081637783149864,0.9867183593290911,1.1944800704939118,1.1984430383585452,2.778297877047273
2023-09-27,0.9459036983589858,1.524183060844903,1.279034645301679,1.4816350876747009,1.3039534199399556,0.9951288142632404,1.196245930122546,1.2015902188077323,2.7794064450158853
2023-09-28,0.9424926911031144,1.5343243364286858,1.2869256611935889,1.4904467306830536,1.3105844555768724,0.9911591812924715,1.197987153675812,1.202592734333183,2.7955202137495982
2023-09-29,0.9476762570512702,1.5298053989697837,1.2828538701570442,1.4842032645701522,1.3059374550372158,0.9958427182143235,1.19770284375508,1.2036616404457532,2.788735867909166
2023-10-02,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,1.000301064392144,1.1989134617421155,1.2048782814847439,2.7876264805998523
2023-10-03,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,1.0063176980410231,1.2017979625520372,1.2077771332281797,2.750311247048834
2023-10-04,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,1.0022713819815836,1.1998650324622484,1.2058345864480053,2.770339211146963
2023-10-05,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9999130611676184,1.198735730865545,1.2046996663636678,2.769295575928914
2023-10-06,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9985391174222565,1.1980768754015145,1.2040375329699076,2.802174694088904
2023-10-09,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9952823595735167,1.1965138535031115,1.202466734743875,2.8201149780805848
2023-10-10,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9939904527761739,1.1958926089424753,1.2018423993748206,2.834792647400413
2023-10-11,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9921006571991745,1.1949831464595575,1.2009284121451664,2.846404958322184
2023-10-12,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.994172265631392,1.1959812456522554,1.2019314770688863,2.8290521416132055
2023-10-13,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9914478241749005,1.1946702531816409,1.2006139621644007,2.8149605057298515
2023-10-16,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9894307369111354,1.1936980369567085,1.1996369089810743,2.8445782382290417
2023-10-17,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9896792726909635,1.1938179752854572,1.1997574440255445,2.8444477582223886
2023-10-18,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9915070926921316,1.1946999112552983,1.2006437677925474,2.8065450573886683
2023-10-19,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9927851026342992,1.1953158779491302,1.2012627990364186,2.7818857699774693
2023-10-20,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.992700910266978,1.1952753308163442,1.2012220501740285,2.7477018517509486
2023-10-23,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9886132957239996,1.1933066311709317,1.1992435558779702,2.7429394339257
2023-10-24,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9887513844616569,1.193373303228469,1.199310559641521,2.763619798057094
2023-10-25,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9954518526790895,1.1966081547858882,1.2025615051932523,2.7239557195511455
2023-10-26,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9970223246184496,1.197363285041337,1.2033203923636073,2.6913369468989354
2023-10-27,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9950224335033186,1.1964025859130583,1.2023549135766545,2.6791379880351642
2023-10-30,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9922542217474518,1.1950712005727646,1.2010169043441314,2.711169088569497
2023-10-31,0.9464442779171036,1.5278166519511232,1.28118616012584,1.482273800326211,1.3042397363456675,0.9973292597932033,1.1975161513433876,1.2034740192042337,2.7281962173497813
2023-11-01,0.9492610555188072,1.5341595321930388,1.2917068034650994,1.4881133417650154,1.3102462904297238,0.9933930214643337,1.198934647790805,1.2050233912042654,2.757291824987184
2023-11-02,0.9696501913581677,1.5544395275198015,1.319530194054581,1.514511557481178,1.3371666551419483,0.9845971626256659,1.2094683396396426,1.214423849694968,2.810133155154038
2023-11-03,0.9779304028732617,1.589907560033312,1.3321315588452527,1.5276137841947803,1.3483377147896052,0.9777520233230842,1.2121674816519736,1.2194862247710656,2.8357711450327225
2023-11-06,0.9744453470866297,1.592636852902982,1.329684181529099,1.5295047678024054,1.3485814513296073,0.9763377052352503,1.2115975944309292,1.2184490827313061,2.8422949405302
2023-11-07,0.9688329551694346,1.5913655060532341,1.328338293171673,1.5290557717828919,1.3478803550947251,0.9764573790388662,1.2112790697666667,1.2172830444477112,2.8503840864371623
2023-11-08,0.9669333352411673,1.586557676425728,1.3242185431158144,1.5271946226520092,1.3460562275789885,0.9760104563506941,1.2100737532118309,1.2155039309852207,2.8524719713787863
2023-11-09,0.9567204575166214,1.5707485695042243,1.315499423610754,1.5152713807145608,1.3343442261420142,0.980015215469767,1.2057425267920463,1.2111366001270287,2.8302260520027307
2023-11-10,0.9653078810190732,1.5798132378294036,1.3354097432672005,1.5282587365046927,1.3502875654055062,0.9779889624633552,1.213389391831714,1.2174601153675293,2.8743913834854466
2023-11-13,0.9632764609596535,1.5895354278939293,1.33688486834539,1.531553615618354,1.3526399537661997,0.9767704584457284,1.2140530090567336,1.2181758684020185,2.871651508180908
