date,level,leverage,action,close,reason
2023-01-09,0,1.0,EMERGENCY_EXIT,372.8363342285156,组合亏损-22.1%，紧急去杠杆
2023-01-10,0,1.0,EMERGENCY_EXIT,375.4509582519531,组合亏损-21.6%，紧急去杠杆
2023-01-11,0,1.0,EMERGENCY_EXIT,380.1996154785156,组合亏损-20.6%，紧急去杠杆
2023-01-12,0,1.0,EMERGENCY_EXIT,381.5839538574219,组合亏损-20.3%，紧急去杠杆
2023-01-17,0,1.0,EMERGENCY_EXIT,382.3625183105469,组合亏损-20.1%，紧急去杠杆
2023-01-18,0,1.0,EMERGENCY_EXIT,376.32574462890625,组合亏损-21.4%，紧急去杠杆
2023-01-19,0,1.0,EMERGENCY_EXIT,373.586181640625,组合亏损-22.0%，紧急去杠杆
2023-01-20,0,1.0,EMERGENCY_EXIT,380.5457458496094,组合亏损-20.5%，紧急去杠杆
2023-02-21,1,1.3,LEVEL_UP,383.6313781738281,DD=-4.2% RSI=43 VIX=23 → Level 1
2023-02-22,0,1.0,EMERGENCY_EXIT,383.10272216796875,组合亏损-20.0%，紧急去杠杆
2023-02-24,0,1.0,EMERGENCY_EXIT,381.0263977050781,组合亏损-20.5%，紧急去杠杆
2023-02-27,0,1.0,EMERGENCY_EXIT,382.3240661621094,组合亏损-20.2%，紧急去杠杆
2023-02-28,0,1.0,EMERGENCY_EXIT,380.9110412597656,组合亏损-20.5%，紧急去杠杆
2023-03-01,0,1.0,EMERGENCY_EXIT,379.4498596191406,组合亏损-20.8%，紧急去杠杆
2023-03-02,0,1.0,EMERGENCY_EXIT,382.40093994140625,组合亏损-20.2%，紧急去杠杆
2023-03-07,0,1.0,EMERGENCY_EXIT,382.8431396484375,组合亏损-20.1%，紧急去杠杆
2023-03-09,0,1.0,EMERGENCY_EXIT,376.39306640625,组合亏损-21.4%，紧急去杠杆
2023-03-10,0,1.0,EMERGENCY_EXIT,370.9618835449219,组合亏损-22.6%，紧急去杠杆
2023-03-13,0,1.0,EMERGENCY_EXIT,370.43316650390625,组合亏损-22.7%，紧急去杠杆
2023-03-14,0,1.0,EMERGENCY_EXIT,376.55645751953125,组合亏损-21.4%，紧急去杠杆
2023-03-15,0,1.0,EMERGENCY_EXIT,374.2013244628906,组合亏损-21.9%，紧急去杠杆
2023-03-16,0,1.0,EMERGENCY_EXIT,380.7668151855469,组合亏损-20.5%，紧急去杠杆
2023-03-17,0,1.0,EMERGENCY_EXIT,376.31463623046875,组合亏损-21.4%，紧急去杠杆
2023-03-20,0,1.0,EMERGENCY_EXIT,379.9330749511719,组合亏损-20.7%，紧急去杠杆
2023-03-22,0,1.0,EMERGENCY_EXIT,378.36029052734375,组合亏损-21.0%，紧急去杠杆
2023-03-23,0,1.0,EMERGENCY_EXIT,379.3831481933594,组合亏损-20.8%，紧急去杠杆
2023-03-24,0,1.0,EMERGENCY_EXIT,381.8726806640625,组合亏损-20.3%，紧急去杠杆
2023-03-27,0,1.0,EMERGENCY_EXIT,382.586669921875,组合亏损-20.1%，紧急去杠杆
2023-03-28,0,1.0,EMERGENCY_EXIT,381.7279357910156,组合亏损-20.3%，紧急去杠杆
2023-08-15,1,1.3,LEVEL_UP,428.9471435546875,DD=-3.3% RSI=33 VIX=16 → Level 1
