date,action,reason,position,regime,close
2022-10-21,CIRCUIT_BREAKER,组合回撤 -17.2% 超过限制 15%,0.3,熊市,358.14739990234375
2022-10-24,CIRCUIT_BREAKER,组合回撤 -16.9% 超过限制 15%,0.3,下行趋势,362.5299377441406
2022-10-25,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,下行趋势,368.31890869140625
2022-10-26,CIRCUIT_BREAKER,组合回撤 -16.7% 超过限制 15%,0.3,下行趋势,365.54400634765625
2022-10-27,CIRCUIT_BREAKER,组合回撤 -16.8% 超过限制 15%,0.3,下行趋势,363.59197998046875
2022-10-28,CIRCUIT_BREAKER,组合回撤 -16.2% 超过限制 15%,0.3,下行趋势,372.24212646484375
2022-10-31,CIRCUIT_BREAKER,组合回撤 -16.4% 超过限制 15%,0.3,下行趋势,369.55328369140625
2022-11-01,CIRCUIT_BREAKER,组合回撤 -16.5% 超过限制 15%,0.3,下行趋势,367.9361877441406
2022-11-02,CIRCUIT_BREAKER,组合回撤 -17.1% 超过限制 15%,0.3,熊市,358.7024230957031
2022-11-03,CIRCUIT_BREAKER,组合回撤 -17.4% 超过限制 15%,0.3,熊市,355.0088806152344
2022-11-04,CIRCUIT_BREAKER,组合回撤 -17.0% 超过限制 15%,0.3,熊市,360.1185607910156
2022-11-07,CIRCUIT_BREAKER,组合回撤 -16.8% 超过限制 15%,0.3,下行趋势,363.56329345703125
2022-11-08,CIRCUIT_BREAKER,组合回撤 -16.7% 超过限制 15%,0.3,下行趋势,365.5248718261719
2022-11-09,CIRCUIT_BREAKER,组合回撤 -17.2% 超过限制 15%,0.3,熊市,357.9942321777344
2022-11-10,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,下行趋势,377.6675109863281
2022-11-11,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,下行趋势,381.3227844238281
2022-11-14,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,下行趋势,378.0790710449219
2022-11-15,CIRCUIT_BREAKER,组合回撤 -15.6% 超过限制 15%,0.3,下行趋势,381.3035888671875
2022-11-16,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,下行趋势,378.394775390625
2022-11-17,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,下行趋势,377.2369384765625
2022-11-18,CIRCUIT_BREAKER,组合回撤 -15.7% 超过限制 15%,0.3,下行趋势,378.9498291015625
2022-11-21,CIRCUIT_BREAKER,组合回撤 -15.8% 超过限制 15%,0.3,下行趋势,377.5718994140625
2022-11-22,CIRCUIT_BREAKER,组合回撤 -15.5% 超过限制 15%,0.3,下行趋势,382.65289306640625
2022-11-23,CIRCUIT_BREAKER,组合回撤 -15.3% 超过限制 15%,0.3,下行趋势,385.06414794921875
2022-11-25,CIRCUIT_BREAKER,组合回撤 -15.3% 超过限制 15%,0.3,下行趋势,384.97802734375
