Key,Ticker,Date,Open,High,Low,Close,PrevClose,GapPct,IntradayPct,ReactionScore
AAPL|2026-01-28,AAPL,2026/1/28,257.65,258.855,254.51,256.44,258.27,-0.002400589,-0.004696293,0.00331887
AAPL|2026-01-29,AAPL,2026/1/29,258,259.65,254.41,258.28,256.44,0.006083294,0.001085271,0.004084085
AAPL|2026-01-30,AAPL,2026/1/30,255.165,261.8999,252.18,259.48,258.28,-0.012060554,0.016910626,0.014000583
AAPL|2026-02-02,AAPL,2026/2/2,260.03,270.49,259.205,270.01,259.48,0.002119624,0.038380187,0.016623849
AAPL|2026-02-03,AAPL,2026/2/3,269.2,271.875,267.61,269.48,270.01,-0.002999889,0.001040119,0.002215981
AAPL|2026-02-04,AAPL,2026/2/4,272.285,278.95,272.285,276.49,269.48,0.010408936,0.015443377,0.012422712
AAPL|2026-02-05,AAPL,2026/2/5,278.13,279.5,273.23,275.91,276.49,0.005931498,-0.007981879,0.006751651
AAPL|2026-02-06,AAPL,2026/2/6,277.12,280.905,276.925,278.12,275.91,0.004385488,0.003608545,0.004074711
AAPL|2026-02-09,AAPL,2026/2/9,277.905,278.2,271.7,274.62,278.12,-0.000773048,-0.011820586,0.005192063
AAPL|2026-02-10,AAPL,2026/2/10,274.885,275.37,272.94,273.68,274.62,0.00096497,-0.004383651,0.002332442
AAPL|2026-02-11,AAPL,2026/2/11,274.695,280.18,274.45,275.5,273.68,0.003708711,0.002930523,0.003397436
AAPL|2026-02-12,AAPL,2026/2/12,275.59,275.72,260.18,261.73,275.5,0.000326679,-0.050292101,0.020312847
AAPL|2026-02-13,AAPL,2026/2/13,262.01,262.23,255.45,255.78,261.73,0.001069805,-0.023777718,0.01015297
AAPL|2026-02-17,AAPL,2026/2/17,258.05,266.29,255.54,263.88,255.78,0.008874814,0.022592521,0.014361897
AAPL|2026-02-18,AAPL,2026/2/18,263.6,266.82,262.45,264.35,263.88,-0.001061088,0.00284522,0.001774741
AAPL|2026-02-19,AAPL,2026/2/19,262.6,264.48,260.05,260.58,264.35,-0.006620011,-0.007692308,0.00704893
AAPL|2026-02-20,AAPL,2026/2/20,258.97,264.75,258.16,264.58,260.58,-0.006178525,0.021662741,0.012372211
AAPL|2026-02-23,AAPL,2026/2/23,263.49,269.43,263.381,266.18,264.58,-0.004119737,0.010209116,0.006555489
AAPL|2026-02-24,AAPL,2026/2/24,267.86,274.89,267.71,272.14,266.18,0.006311519,0.015978496,0.01017831
AMZN|2024-12-24,AMZN,2024/12/24,226.94,229.14,226.13,229.05,225.06,0.008353328,0.009297612,0.008731041
AMZN|2024-12-26,AMZN,2024/12/26,228.5,228.5,226.6706,227.05,229.05,-0.002401222,-0.006345733,0.003979027
AMZN|2024-12-27,AMZN,2024/12/27,225.6,226.03,220.9,223.75,227.05,-0.006386259,-0.008200355,0.007111897
AMZN|2024-12-30,AMZN,2024/12/30,220.06,222.9972,218.43,221.3,223.75,-0.01649162,0.005634827,0.012148903
AMZN|2024-12-31,AMZN,2024/12/31,222.965,223.2299,218.94,219.39,221.3,0.007523723,-0.016033907,0.010927797
AMZN|2025-01-02,AMZN,2025/1/2,222.03,225.15,218.19,220.22,219.39,0.012033365,-0.008152052,0.01048084
AMZN|2025-01-03,AMZN,2025/1/3,222.505,225.36,221.62,224.19,220.22,0.010375988,0.007572864,0.009254738
AMZN|2025-01-06,AMZN,2025/1/6,226.78,228.835,224.84,227.61,224.19,0.011552701,0.003659935,0.008395594
AMZN|2025-01-07,AMZN,2025/1/7,227.9,228.381,221.46,222.11,227.61,0.001274109,-0.02540588,0.010926817
AMZN|2025-01-08,AMZN,2025/1/8,223.185,223.52,220.2,222.13,222.11,0.004839944,-0.00472702,0.004794775
AMZN|2025-01-10,AMZN,2025/1/10,221.46,221.71,216.5,218.94,222.13,-0.003016252,-0.01137903,0.006361363
AMZN|2025-01-13,AMZN,2025/1/13,218.06,219.4,216.47,218.46,218.94,-0.004019366,0.001834358,0.003145363
AMZN|2025-01-14,AMZN,2025/1/14,220.44,221.82,216.2,217.76,218.46,0.009063444,-0.012157503,0.010301068
AMZN|2025-01-15,AMZN,2025/1/15,222.83,223.57,220.75,223.35,217.76,0.023282513,0.002333618,0.014902955
AMZN|2025-01-16,AMZN,2025/1/16,224.42,224.65,220.31,220.66,223.35,0.004790687,-0.0167543,0.009576132
AMZN|2025-01-17,AMZN,2025/1/17,225.84,226.51,223.08,225.94,220.66,0.023475029,0.000442791,0.014262134
AMZN|2025-01-21,AMZN,2025/1/21,228.9,231.78,226.94,230.71,225.94,0.013100823,0.007907383,0.011023447
AMZN|2025-01-22,AMZN,2025/1/22,232.02,235.44,231.19,235.01,230.71,0.005678124,0.01288682,0.008561602
AMZN|2025-01-23,AMZN,2025/1/23,234.1,235.52,231.51,235.42,235.01,-0.003872176,0.005638616,0.004578752
AMZN|2025-01-24,AMZN,2025/1/24,234.5,236.4,232.93,234.85,235.42,-0.003907909,0.001492537,0.00294176
AMZN|2025-01-27,AMZN,2025/1/27,226.21,235.61,225.86,235.42,234.85,-0.03678944,0.04071438,0.038359416
AMZN|2025-01-28,AMZN,2025/1/28,234.29,241.77,233.98,238.15,235.42,-0.004799932,0.016475308,0.009470083
AMZN|2025-01-29,AMZN,2025/1/29,239.015,240.39,236.15,237.07,238.15,0.003632165,-0.008137565,0.005434325
AMZN|2025-01-30,AMZN,2025/1/30,237.14,237.95,232.22,234.64,237.07,0.000295271,-0.010542296,0.004394081
AMZN|2025-01-31,AMZN,2025/1/31,236.5,240.29,236.41,237.68,234.64,0.007927037,0.004989429,0.006751994
AMZN|2025-02-03,AMZN,2025/2/3,234.06,239.25,232.9,237.42,237.68,-0.015230562,0.014355294,0.014880455
AMZN|2025-02-04,AMZN,2025/2/4,239.01,242.52,238.03,242.06,237.42,0.006696993,0.012760972,0.009122585
AMZN|2025-02-05,AMZN,2025/2/5,237.02,238.32,235.2,236.17,242.06,-0.020821284,-0.003586195,0.013927248
AMZN|2025-02-06,AMZN,2025/2/6,238.01,239.6599,236.01,238.83,236.17,0.007790998,0.003445233,0.006052692
AMZN|2025-02-07,AMZN,2025/2/7,232.5,234.81,228.06,229.15,238.83,-0.026504208,-0.014408602,0.021665966
AMZN|2025-02-10,AMZN,2025/2/10,230.545,233.92,229.2,233.14,229.15,0.006087715,0.011255937,0.008155004
AMZN|2025-02-11,AMZN,2025/2/11,231.92,233.44,230.13,232.76,233.14,-0.005232907,0.003621939,0.00458852
AMZN|2025-02-12,AMZN,2025/2/12,230.46,231.18,228.16,228.93,232.76,-0.009881423,-0.006638896,0.008584412
AMZN|2025-02-13,AMZN,2025/2/13,228.85,230.42,227.52,230.37,228.93,-0.000349452,0.006641905,0.002866433
AMZN|2025-02-14,AMZN,2025/2/14,229.2,229.89,227.23,228.68,230.37,-0.005078786,-0.002268761,0.003954776
AMZN|2025-02-18,AMZN,2025/2/18,228.82,229.3,223.72,226.65,228.68,0.000612209,-0.009483437,0.0041607
AMZN|2025-02-19,AMZN,2025/2/19,225.52,226.83,223.71,226.63,226.65,-0.004985661,0.004921958,0.00496018
AMZN|2025-02-20,AMZN,2025/2/20,224.775,225.13,221.81,222.88,226.63,-0.008185148,-0.008430653,0.00828335
